Sexo;Edad;Periodo;Total
Total;14 años;2029;503.537,915851
Total;14 años;2028;494.057,623787
Total;14 años;2027;513.518,559592
Total;14 años;2026;518.369,485365
Total;14 años;2025;521.493,697702
Total;14 años;2024;520.774
Total;15 años;2074;433.217,176272
Total;15 años;2073;433.042,468044
Total;15 años;2072;433.559,270687
Total;15 años;2071;434.765,781537
Total;15 años;2070;436.628,785704
Total;15 años;2069;439.093,077392
Total;15 años;2068;442.068,943291
Total;15 años;2067;445.429,899637
Total;15 años;2066;449.050,302483
Total;15 años;2065;452.801,05273
Total;15 años;2064;456.537,181306
Total;15 años;2063;460.104,743485
Total;15 años;2062;463.337,220997
Total;15 años;2061;466.104,853081
Total;15 años;2060;468.298,374815
Total;15 años;2059;469.795,781106
Total;15 años;2058;470.539,275757
Total;15 años;2057;470.515,359398
Total;15 años;2056;469.718,541002
Total;15 años;2055;468.212,369822
Total;15 años;2054;466.111,487732
Total;15 años;2053;461.781,045192
Total;15 años;2052;457.116,209843
Total;15 años;2051;452.284,230749
Total;15 años;2050;447.457,207197
Total;15 años;2049;442.766,422825
Total;15 años;2048;438.259,489049
Total;15 años;2047;433.948,386664
Total;15 años;2046;429.821,888372
Total;15 años;2045;425.830,845228
Total;15 años;2044;421.932,288917
Total;15 años;2043;418.112,911286
Total;15 años;2042;414.414,260621
Total;15 años;2041;410.987,580361
Total;15 años;2040;408.125,349009
Total;15 años;2039;408.360,684866
Total;15 años;2038;412.083,404909
Total;15 años;2037;425.040,263606
Total;15 años;2036;427.772,13444
Total;15 años;2035;444.193,919877
Total;15 años;2034;458.742,36351
Total;15 años;2033;480.155,148649
Total;15 años;2032;497.911,443357
Total;15 años;2031;505.826,952532
Total;15 años;2030;510.033,105654
Total;15 años;2029;501.412,900573
Total;15 años;2028;521.650,335044
Total;15 años;2027;527.320,593388
Total;15 años;2026;531.058,2978
Total;15 años;2025;530.626,622389
Total;15 años;2024;544.055
Total;16 años;2074;439.407,6091
Total;16 años;2073;439.893,306338
Total;16 años;2072;441.076,576543
Total;16 años;2071;442.915,133234
Total;16 años;2070;445.350,196189
Total;16 años;2069;448.291,79364
Total;16 años;2068;451.615,042066
Total;16 años;2067;455.196,322801
Total;16 años;2066;458.908,542884
Total;16 años;2065;462.608,360555
Total;16 años;2064;466.142,908522
Total;16 años;2063;469.346,236415
Total;16 años;2062;472.088,740512
Total;16 años;2061;474.260,928325
Total;16 años;2060;475.740,482368
Total;16 años;2059;476.469,190188
Total;16 años;2058;476.432,980511
Total;16 años;2057;475.626,059585
Total;16 años;2056;474.111,576333
Total;16 años;2055;472.003,733072
Total;16 años;2054;467.674,455966
Total;16 años;2053;463.011,078305
Total;16 años;2052;458.180,230982
Total;16 años;2051;453.352,91111
Total;16 años;2050;448.659,152067
Total;16 años;2049;444.145,13629
Total;16 años;2048;439.821,064422
Total;16 años;2047;435.673,630484
Total;16 años;2046;431.651,628063
Total;16 años;2045;427.710,246226
Total;16 años;2044;423.834,970614
Total;16 años;2043;420.067,286864
Total;16 años;2042;416.560,225627
Total;16 años;2041;413.610,463477
Total;16 años;2040;413.783,563166
Total;16 años;2039;417.485,472133
Total;16 años;2038;430.263,690289
Total;16 años;2037;433.012,580458
Total;16 años;2036;449.463,452191
Total;16 años;2035;464.073,579769
Total;16 años;2034;485.612,557987
Total;16 años;2033;503.618,885283
Total;16 años;2032;511.966,663809
Total;16 años;2031;516.774,031692
Total;16 años;2030;508.987,063676
Total;16 años;2029;530.040,156941
Total;16 años;2028;536.650,168593
Total;16 años;2027;541.255,738675
Total;16 años;2026;541.547,321492
Total;16 años;2025;555.227,505425
Total;16 años;2024;525.575
Total;17 años;2074;447.188,573518
Total;17 años;2073;448.332,913349
Total;17 años;2072;450.143,040138
Total;17 años;2071;452.549,27689
Total;17 años;2070;455.457,418576
Total;17 años;2069;458.742,28882
Total;17 años;2068;462.281,959328
Total;17 años;2067;465.951,575787
Total;17 años;2066;469.610,055298
Total;17 años;2065;473.106,307917
Total;17 años;2064;476.275,530522
Total;17 años;2063;478.988,42315
Total;17 años;2062;481.135,474037
Total;17 años;2061;482.594,040569
Total;17 años;2060;483.305,168539
Total;17 años;2059;483.254,061021
Total;17 años;2058;482.434,236273
Total;17 años;2057;480.908,214475
Total;17 años;2056;478.789,602294
Total;17 años;2055;474.456,736743
Total;17 años;2054;469.789,568368
Total;17 años;2053;464.954,127653
Total;17 años;2052;460.120,775085
Total;17 años;2051;455.418,537283
Total;17 años;2050;450.892,521293
Total;17 años;2049;446.551,435444
Total;17 años;2048;442.380,066973
Total;17 años;2047;438.325,098478
Total;17 años;2046;434.339,587964
Total;17 años;2045;430.407,250326
Total;17 años;2044;426.568,680048
Total;17 años;2043;422.977,442225
Total;17 años;2042;419.933,110471
Total;17 años;2041;420.032,582473
Total;17 años;2040;423.696,140217
Total;17 años;2039;436.271,262341
Total;17 años;2038;439.002,013141
Total;17 años;2037;455.438,579437
Total;17 años;2036;470.057,457403
Total;17 años;2035;491.662,795214
Total;17 años;2034;509.852,834351
Total;17 años;2033;518.562,099391
Total;17 años;2032;523.904,215632
Total;17 años;2031;516.896,185616
Total;17 años;2030;538.757,49241
Total;17 años;2029;546.357,459444
Total;17 años;2028;551.981,216099
Total;17 años;2027;553.286,905784
Total;17 años;2026;567.712,23198
Total;17 años;2025;538.522,763371
Total;17 años;2024;525.095
Total;18 años;2074;456.615,373502
Total;18 años;2073;458.379,17258
Total;18 años;2072;460.752,253349
Total;18 años;2071;463.627,753698
Total;18 años;2070;466.875,596147
Total;18 años;2069;470.373,337095
Total;18 años;2068;473.997,922302
Total;18 años;2067;477.610,778995
Total;18 años;2066;481.063,304447
Total;18 años;2065;484.192,65047
Total;18 años;2064;486.870,539266
Total;18 años;2063;488.987,61775
Total;18 años;2062;490.421,183576
Total;18 años;2061;491.111,543349
Total;18 años;2060;491.042,835255
Total;18 años;2059;490.207,692259
Total;18 años;2058;488.667,573656
Total;18 años;2057;486.535,207453
Total;18 años;2056;482.194,914572
Total;18 años;2055;477.519,3461
Total;18 años;2054;472.674,097361
Total;18 años;2053;467.828,907995
Total;18 años;2052;463.112,281682
Total;18 años;2051;458.568,52355
Total;18 años;2050;454.205,236748
Total;18 años;2049;450.005,626949
Total;18 años;2048;445.914,452477
Total;18 años;2047;441.882,58542
Total;18 años;2046;437.891,640845
Total;18 años;2045;433.980,696897
Total;18 años;2044;430.302,928574
Total;18 años;2043;427.159,422259
Total;18 años;2042;427.177,840906
Total;18 años;2041;430.790,994354
Total;18 años;2040;443.141,822761
Total;18 años;2039;445.824,884262
Total;18 años;2038;462.208,289746
Total;18 años;2037;476.784,936399
Total;18 años;2036;498.395,537079
Total;18 años;2035;516.697,678198
Total;18 años;2034;525.687,119766
Total;18 años;2033;531.479,093307
Total;18 años;2032;525.166,927756
Total;18 años;2031;547.783,462082
Total;18 años;2030;556.358,302621
Total;18 años;2029;563.058,091462
Total;18 años;2028;565.544,429503
Total;18 años;2027;581.045,800815
Total;18 años;2026;552.864,040426
Total;18 años;2025;539.744,719606
Total;18 años;2024;522.878
Total;19 años;2074;467.633,425287
Total;19 años;2073;469.953,511866
Total;19 años;2072;472.791,727062
Total;19 años;2071;476.003,764772
Total;19 años;2070;479.461,512388
Total;19 años;2069;483.041,209391
Total;19 años;2068;486.606,231088
Total;19 años;2067;490.010,705885
Total;19 años;2066;493.094,504579
Total;19 años;2065;495.731,279725
Total;19 años;2064;497.812,66613
Total;19 años;2063;499.216,096438
Total;19 años;2062;499.881,511403
Total;19 años;2061;499.792,007233
Total;19 años;2060;498.938,981792
Total;19 años;2059;497.382,607777
Total;19 años;2058;495.234,250897
Total;19 años;2057;490.883,699352
Total;19 años;2056;486.196,223115
Total;19 años;2055;481.336,780381
Total;19 años;2054;476.474,63126
Total;19 años;2053;471.737,755946
Total;19 años;2052;467.170,154429
Total;19 años;2051;462.778,637129
Total;19 años;2050;458.545,25894
Total;19 años;2049;454.413,231875
Total;19 años;2048;450.331,470361
Total;19 años;2047;446.279,464735
Total;19 años;2046;442.294,438499
Total;19 años;2045;438.528,521154
Total;19 años;2044;435.283,317069
Total;19 años;2043;435.216,829864
Total;19 años;2042;438.772,71487
Total;19 años;2041;450.882,499018
Total;19 años;2040;453.495,114713
Total;19 años;2039;469.792,562664
Total;19 años;2038;484.280,531963
Total;19 años;2037;505.836,946194
Total;19 años;2036;524.177,534356
Total;19 años;2035;533.358,847268
Total;19 años;2034;539.500,951933
Total;19 años;2033;533.776,862974
Total;19 años;2032;557.053,838782
Total;19 años;2031;566.528,107225
Total;19 años;2030;574.276,206819
Total;19 años;2029;577.993,993476
Total;19 años;2028;594.750,169235
Total;19 años;2027;567.929,285583
Total;19 años;2026;555.738,473934
Total;19 años;2025;539.048,314681
Total;19 años;2024;528.007
Total;20 años;2074;480.080,252818
Total;20 años;2073;482.859,992838
Total;20 años;2072;486.031,42668
Total;20 años;2071;489.450,87146
Total;20 años;2070;492.988,310352
Total;20 años;2069;496.506,305847
Total;20 años;2068;499.861,026797
Total;20 años;2067;502.895,270124
Total;20 años;2066;505.485,41058
Total;20 años;2065;507.525,051035
Total;20 años;2064;508.892,712739
Total;20 años;2063;509.528,173748
Total;20 años;2062;509.413,954483
Total;20 años;2061;508.540,266852
Total;20 años;2060;506.965,652544
Total;20 años;2059;504.799,865023
Total;20 años;2058;500.437,526192
Total;20 años;2057;495.736,228564
Total;20 años;2056;490.859,960467
Total;20 años;2055;485.977,240295
Total;20 años;2054;481.215,632089
Total;20 años;2053;476.618,806467
Total;20 años;2052;472.193,296276
Total;20 años;2051;467.920,361143
Total;20 años;2050;463.742,150536
Total;20 años;2049;459.606,072259
Total;20 años;2048;455.489,783807
Total;20 años;2047;451.428,686865
Total;20 años;2046;447.573,545837
Total;20 años;2045;444.225,815701
Total;20 años;2044;444.073,795034
Total;20 años;2043;447.570,332186
Total;20 años;2042;459.428,239673
Total;20 años;2041;461.955,517742
Total;20 años;2040;478.142,581156
Total;20 años;2039;492.503,709539
Total;20 años;2038;513.953,261274
Total;20 años;2037;532.262,852482
Total;20 años;2036;541.547,969977
Total;20 años;2035;547.934,058926
Total;20 años;2034;542.674,684616
Total;20 años;2033;566.485,63994
Total;20 años;2032;576.734,466919
Total;20 años;2031;585.429,418179
Total;20 años;2030;590.325,8352
Total;20 años;2029;608.374,682405
Total;20 años;2028;583.085,127236
Total;20 años;2027;572.209,671271
Total;20 años;2026;556.392,936352
Total;20 años;2025;545.452,731279
Total;20 años;2024;525.639
Total;21 años;2074;493.677,156078
Total;21 años;2073;496.786,18453
Total;21 años;2072;500.162,502218
Total;21 años;2071;503.659,794381
Total;21 años;2070;507.134,079635
Total;21 años;2069;510.440,635484
Total;21 años;2068;513.424,372409
Total;21 años;2067;515.964,529167
Total;21 años;2066;517.957,452718
Total;21 años;2065;519.283,768712
Total;21 años;2064;519.884,135906
Total;21 años;2063;519.740,735655
Total;21 años;2062;518.843,128047
Total;21 años;2061;517.248,310843
Total;21 años;2060;515.064,091667
Total;21 años;2059;510.689,683762
Total;21 años;2058;505.974,411123
Total;21 años;2057;501.080,829577
Total;21 años;2056;496.176,31851
Total;21 años;2055;491.387,702149
Total;21 años;2054;486.758,396628
Total;21 años;2053;482.294,611605
Total;21 años;2052;477.977,34519
Total;21 años;2051;473.748,083158
Total;21 años;2050;469.553,26993
Total;21 años;2049;465.369,260357
Total;21 años;2048;461.229,997407
Total;21 años;2047;457.284,980323
Total;21 años;2046;453.835,217436
Total;21 años;2045;453.599,331277
Total;21 años;2044;457.038,245898
Total;21 años;2043;468.639,562205
Total;21 años;2042;471.074,677133
Total;21 años;2041;487.136,256069
Total;21 años;2040;501.343,473229
Total;21 años;2039;522.644,678757
Total;21 años;2038;540.864,417846
Total;21 años;2037;550.173,958531
Total;21 años;2036;556.702,074368
Total;21 años;2035;551.781,421623
Total;21 años;2034;575.983,390329
Total;21 años;2033;586.849,981122
Total;21 años;2032;596.336,281597
Total;21 años;2031;602.275,878016
Total;21 años;2030;621.535,534525
Total;21 años;2029;597.784,793027
Total;21 años;2028;588.394,34895
Total;21 años;2027;573.865,757119
Total;21 años;2026;563.792,394178
Total;21 años;2025;544.285,63009
Total;21 años;2024;514.262
Total;22 años;2074;508.115,958871
Total;22 años;2073;511.427,194624
Total;22 años;2072;514.879,425041
Total;22 años;2071;518.312,256384
Total;22 años;2070;521.574,348842
Total;22 años;2069;524.509,72074
Total;22 años;2068;526.999,573517
Total;22 años;2067;528.943,066704
Total;22 años;2066;530.223,671035
Total;22 años;2065;530.783,94592
Total;22 años;2064;530.606,806567
Total;22 años;2063;529.681,397729
Total;22 años;2062;528.063,791131
Total;22 años;2061;525.859,961964
Total;22 años;2060;521.473,567636
Total;22 años;2059;516.745,224993
Total;22 años;2058;511.835,441866
Total;22 años;2057;506.909,955606
Total;22 años;2056;502.094,406165
Total;22 años;2055;497.431,594131
Total;22 años;2054;492.927,466169
Total;22 años;2053;488.562,700048
Total;22 años;2052;484.278,676446
Total;22 años;2051;480.021,313602
Total;22 años;2050;475.766,254733
Total;22 años;2049;471.546,572237
Total;22 años;2048;467.510,902751
Total;22 años;2047;463.959,933948
Total;22 años;2046;463.642,47183
Total;22 años;2045;467.026,790645
Total;22 años;2044;478.371,189888
Total;22 años;2043;480.713,375668
Total;22 años;2042;496.641,906985
Total;22 años;2041;510.678,736552
Total;22 años;2040;531.802,348412
Total;22 años;2039;549.887,2112
Total;22 años;2038;559.156,545301
Total;22 años;2037;565.738,189464
Total;22 años;2036;561.040,867441
Total;22 años;2035;585.491,175866
Total;22 años;2034;596.808,507032
Total;22 años;2033;606.903,219185
Total;22 años;2032;613.698,993717
Total;22 años;2031;634.002,108129
Total;22 años;2030;611.673,085474
Total;22 años;2029;603.757,719088
Total;22 años;2028;590.685,66339
Total;22 años;2027;581.915,405597
Total;22 años;2026;563.524,327641
Total;22 años;2025;533.863,568705
Total;22 años;2024;517.469
Total;23 años;2074;523.118,770839
Total;23 años;2073;526.504,245568
Total;23 años;2072;529.890,641039
Total;23 años;2071;533.110,525052
Total;23 años;2070;536.001,44758
Total;23 años;2069;538.443,568347
Total;23 años;2068;540.337,904183
Total;23 años;2067;541.570,775161
Total;23 años;2066;542.087,324226
Total;23 años;2065;541.872,196211
Total;23 años;2064;540.915,234386
Total;23 años;2063;539.271,779316
Total;23 años;2062;537.046,629955
Total;23 años;2061;532.648,367754
Total;23 años;2060;527.908,244803
Total;23 años;2059;522.984,453413
Total;23 años;2058;518.040,451877
Total;23 años;2057;513.200,181463
Total;23 años;2056;508.505,37141
Total;23 años;2055;503.961,331758
Total;23 años;2054;499.548,483827
Total;23 años;2053;495.208,04414
Total;23 años;2052;490.885,986709
Total;23 años;2051;486.557,700247
Total;23 años;2050;482.255,995906
Total;23 años;2049;478.129,243146
Total;23 años;2048;474.478,18783
Total;23 años;2047;474.081,410201
Total;23 años;2046;477.414,151257
Total;23 años;2045;488.504,462367
Total;23 años;2044;490.757,081223
Total;23 años;2043;506.550,757387
Total;23 años;2042;520.410,232487
Total;23 años;2041;541.339,123861
Total;23 años;2040;559.259,459641
Total;23 años;2039;568.442,249169
Total;23 años;2038;575.008,828952
Total;23 años;2037;570.439,791202
Total;23 años;2036;595.011,011048
Total;23 años;2035;606.621,950271
Total;23 años;2034;617.140,917158
Total;23 años;2033;624.587,150384
Total;23 años;2032;645.720,89286
Total;23 años;2031;624.617,608564
Total;23 años;2030;618.039,761009
Total;23 años;2029;606.402,572714
Total;23 años;2028;599.100,82928
Total;23 años;2027;582.266,672381
Total;23 años;2026;553.830,457946
Total;23 años;2025;537.598,677816
Total;23 años;2024;526.468
Total;24 años;2074;538.402,992549
Total;24 años;2073;541.721,898882
Total;24 años;2072;544.894,522409
Total;24 años;2071;547.743,093143
Total;24 años;2070;550.141,424427
Total;24 años;2069;551.989,452292
Total;24 años;2068;553.175,368976
Total;24 años;2067;553.646,816797
Total;24 años;2066;553.390,774452
Total;24 años;2065;552.398,738481
Total;24 años;2064;550.726,411681
Total;24 años;2063;548.477,563566
Total;24 años;2062;544.066,916061
Total;24 años;2061;539.316,001644
Total;24 años;2060;534.380,393756
Total;24 años;2059;529.421,022215
Total;24 años;2058;524.559,499591
Total;24 años;2057;519.835,996181
Total;24 años;2056;515.254,733644
Total;24 años;2055;510.795,503973
